programming_language,func,embedding,strategy,labeled,accuracy,ari,nmi,f1,recall
java,label_propagation,CodeBERT,random,50,0.4066106282946289,0.1536610218994116,0.2717769189965011,0.4017334486778538,0.4135420189130666
java,label_propagation,CodeBERT,random,100,0.5416441088474141,0.2710169633934893,0.3984013137862504,0.5391206222739705,0.5496245886088253
java,label_propagation,CodeBERT,random,250,0.723977774611768,0.4987783865078807,0.5823256035593355,0.721236185369245,0.7244056896488088
java,label_propagation,CodeBERT,random,500,0.8725174526285796,0.7440646126133628,0.777118438244501,0.8711281949922436,0.871697268856906
java,label_propagation,CodeBERT,entropy,50,0.4066106282946289,0.1536610218994116,0.2717769189965011,0.4017334486778538,0.4135420189130666
java,label_propagation,CodeBERT,entropy,100,0.4467018093745548,0.1856355524990305,0.3022156082525001,0.4454740901021493,0.452189485171776
java,label_propagation,CodeBERT,entropy,250,0.4565037754665907,0.192969501532102,0.3172956839790432,0.454098963239626,0.4611448116615682
java,label_propagation,CodeBERT,entropy,500,0.4958256161846416,0.2273305239578608,0.3549028221805458,0.4932100306600452,0.5022086179313516
java,label_propagation,CodeBERT,uniform,50,0.4066106282946289,0.1536610218994116,0.2717769189965011,0.4017334486778538,0.4135420189130666
java,label_propagation,CodeBERT,uniform,100,0.4761077076506624,0.2080286504496594,0.3332992876409033,0.4746026460843208,0.4861213713243574
java,label_propagation,CodeBERT,uniform,250,0.5434392363584556,0.2754930388216513,0.4074895727071472,0.541526764949348,0.5552549867325571
java,label_propagation,CodeBERT,uniform,500,0.6362729733580282,0.3834142190859791,0.5181819471658032,0.6375697987572264,0.6515517512109044
java,label_propagation,CodeBERT,random_then_entropy_1,50,0.4066106282946289,0.1536610218994116,0.2717769189965011,0.4017334486778538,0.4135420189130666
java,label_propagation,CodeBERT,random_then_entropy_1,100,0.5416441088474141,0.2710169633934893,0.3984013137862504,0.5391206222739705,0.5496245886088253
java,label_propagation,CodeBERT,random_then_entropy_1,250,0.6163271121242342,0.3571344048301478,0.4759480084223901,0.614195246569121,0.6248200205880334
java,label_propagation,CodeBERT,random_then_entropy_1,500,0.7142612907821627,0.4871509110498637,0.5877161866728257,0.7133878827432085,0.7246984354507932
java,label_propagation,CodeBERT,random_then_entropy_2,50,0.4066106282946289,0.1536610218994116,0.2717769189965011,0.4017334486778538,0.4135420189130666
